"symbol_name","signal","WW1","WW2","WW3","WW4","WW5","sinoWW1","sinoWW2","sinoWW3","sinoWW4","sinoWW5"
"BHARTIARTL","buy",343.45,328.1,348.25,338.3,353.55,2778,2944,3009,3028,3078
"DRREDDY","sell",2610.05,2692.95,2533,2590,2501.35,3000,3003,3075,3102,3159
"GAIL","sell",134.85,140.8,128.3,130.95,125.7,2553,2667,3147,3174,3216
"HINDALCO","sell",195.65,200.25,194.75,199.35,180.3,2764,2779,2852,2898,3206
"ICICIBANK","buy",418.7,410.85,434.7,426.95,438.65,2879,2914,2931,2967,3015
"M&M","sell",551.05,561.3,541.75,553.8,539.3,3000,3002,3090,3139,3216
"NTPC","sell",130.7,132.85,126.1,128.65,125.2,2728,2790,3001,3061,3163
"RELIANCE","sell",1254.45,1269.05,1205.1,1220,1150.35,2704,2783,2929,3006,3177
"TCS","buy",2141.45,2103.3,2184,2147.25,2217.5,2927,2958,3071,3089,3165
"TITAN","sell",1083,1112.2,1071.9,1093.3,1041.1,2850,2914,2956,3048,3087
"ZEEL","buy",364.55,343.8,366.55,354.5,405.2,2458,2536,2576,2649,2888
